Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
RASSF6,-1.010137625,0.229136957,14.09097966,0.000472294,0.006995802,2.177010691,500,2.155162461,Downregulated
C15orf39,1.159737608,8.000661734,11.74812,0.001258334,0.013295836,2.175997526,501,1.876284351,Upregulated
RNASE2,1.149674288,6.109426706,11.84343677,0.001207766,0.012999638,2.168364732,502,1.886068736,Upregulated
DEPDC1,1.228404718,-0.969240894,10.89312478,0.001846755,0.017408512,2.161056687,503,1.759238348,Upregulated
PRKD2,1.009987921,7.456141919,13.88959429,0.000510662,0.007337339,2.155780258,504,2.134461426,Upregulated
PTP4A1,1.091513729,7.981091885,12.43191461,0.000939325,0.010858236,2.143995722,505,1.964240728,Upregulated
CYP7A1,1.121247897,-1.725589426,11.97382682,0.001145551,0.012564171,2.131342199,506,1.900866173,Upregulated
UNC5A,1.067344026,-0.244218829,12.65745405,0.000859682,0.010231446,2.124081825,507,1.990062972,Upregulated
DMC1,1.067688469,-1.413667132,12.58720977,0.000894036,0.010499191,2.112789109,508,1.978844176,Upregulated
ARPP21,-1.299850262,-2.255501004,9.687068164,0.002905185,0.023702514,2.112523915,509,1.625205592,Downregulated
MEIS2,-1.176686392,-1.639490746,11.11950113,0.001648428,0.016063407,2.111166391,510,1.794162323,Downregulated
NIM1K,1.011447242,-1.470156615,13.51709866,0.00060653,0.008262494,2.106732201,511,2.082888868,Upregulated
SEMA3B,1.299050379,1.306907665,9.746499676,0.003041435,0.024452992,2.093637917,512,1.611667992,Upregulated
OR52B4,1.238060453,-2.057031579,10.23717211,0.002379009,0.020585013,2.087925634,513,1.686448855,Upregulated
ELOVL4,-1.040147186,0.369512907,12.67756,0.000849253,0.010161963,2.073036626,514,1.993022386,Downregulated
SASH1,1.01758436,3.853855497,12.97221107,0.000747809,0.009441444,2.060569213,515,2.02496156,Upregulated
RMI2,1.134772845,1.154714854,11.29591124,0.00153148,0.015317107,2.059412162,516,1.814823267,Upregulated
JUNB,1.187797025,5.630741094,10.65159675,0.002029828,0.018542071,2.057076497,517,1.731841765,Upregulated
NTSR1,1.0845163,0.792165317,11.92537509,0.001167446,0.012699446,2.056476331,518,1.896215235,Upregulated
UPK3A,1.092743764,1.087201532,11.80631857,0.001228151,0.013165704,2.054965729,519,1.880555898,Upregulated
LHFPL4,1.209989158,-1.370303171,10.41089332,0.002283036,0.02007229,2.053839318,520,1.697403076,Upregulated
VAMP5,1.222868299,3.835675593,9.944561348,0.002780824,0.022983759,2.003766244,521,1.638578943,Upregulated
CDH2,-1.287449241,0.434885451,9.298913462,0.003731897,0.02779981,2.003217161,522,1.555958166,Downregulated
SCARF1,1.121134889,4.787145639,11.05650618,0.001698938,0.016411125,2.001070663,523,1.784861645,Upregulated
UBALD1,1.309987048,1.509509097,8.987893223,0.004295861,0.030561127,1.984408511,524,1.514830634,Upregulated
SMIM22,1.351074999,-2.26818274,8.556843365,0.00502008,0.033998974,1.984099826,525,1.468534188,Upregulated
ATN1,1.237144773,5.611296622,9.61630781,0.003224244,0.025497358,1.971396155,526,1.593504818,Upregulated
CCNA1,1.493813959,0.857085655,7.49459132,0.008658785,0.047979133,1.970262347,527,1.318947607,Upregulated
ESM1,-1.027835913,-0.653336081,12.07258979,0.001108176,0.012255453,1.964883731,528,1.911670634,Downregulated
NXF3,1.412367271,-1.488224567,8.040168583,0.006703665,0.041069224,1.95822392,529,1.386483502,Upregulated
TNS1,1.01309282,4.276962979,12.17192451,0.001049251,0.011750552,1.955210105,530,1.929941724,Upregulated
CDC20,1.016343768,0.052007415,12.11662356,0.001078538,0.012007661,1.951930457,531,1.92054157,Upregulated
CYP7B1,-1.168674672,-1.824213912,10.13569904,0.00251255,0.021488532,1.949107728,532,1.667793248,Downregulated
TXNDC2,1.467381591,-0.880341301,7.530420368,0.00855525,0.047561768,1.940967279,533,1.322742012,Upregulated
ZNF358,1.079271334,1.633037561,11.15804497,0.001625731,0.015923375,1.940491955,534,1.797964881,Upregulated
TAS1R1,1.317727919,-0.573033987,8.665766453,0.005012773,0.033969212,1.935629679,535,1.468914524,Upregulated
NEK2,1.04790058,-0.564725834,11.44354346,0.001448031,0.014737739,1.919302349,536,1.831569125,Upregulated
TUBB2A,1.126045432,1.123297219,10.30361798,0.002369844,0.020559289,1.899629531,537,1.686991907,Upregulated
SCGB1A1,-1.148466661,-1.800319522,9.987522007,0.002694385,0.022564196,1.891042385,538,1.64658013,Downregulated
HSPB9,1.190501044,-2.091875749,9.228818843,0.003755145,0.02787748,1.850927317,539,1.554746488,Upregulated
