Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
RASA4,-1.631496544,3.627118827,38.33876298,5.65e-08,3.5923727272727274e-07,10.514372988577998,782,5.844930507000001,Downregulated,6.444618609365561
COQ4,-1.634728999,3.154176497,38.1777113,5.94e-08,3.742735135135135e-07,10.506094158853418,783,5.827208167999999,Downregulated,6.426810905832238
LOC107986860,-2.135126455,-2.078662919,23.20174281,5.11e-06,1.2033447811447813e-05,10.503989291054385,784,4.365962288,Downregulated,4.919609921209274
CDK20,-1.493297635,-0.143394421,44.36418078,9.620000000000001e-09,9.370791086350975e-08,10.495229895511388,785,6.426250961,Downregulated,7.028223744231261
ACSF2,-1.472968754,3.349588635,45.17474958,7.120000000000001e-09,7.63565137614679e-08,10.483345324739751,786,6.516340284,Downregulated,7.117153908574867
OIP5,1.7132100430000001,0.596926669,35.267284000000004,1.55e-07,7.612851123595505e-07,10.482194550141218,787,5.523928363,Upregulated,6.118452663157321
DYRK3,2.4785127890000003,0.827471909,19.937253100000003,3.5600000000000005e-05,5.9423961813842495e-05,10.474290213819613,788,3.718260032,Upregulated,4.2260383970201945
ACTL10,-1.9005769819999998,-0.629796652,29.56621213,9.82e-07,3.1077411764705884e-06,10.467532560247506,789,4.927524867,Downregulated,5.507555157924935
HLA-DMA,-1.594068869,6.284924837,39.52295779,3.9e-08,2.7276599999999997e-07,10.463802435972744,790,5.963601203,Downregulated,6.564209765000275
NUBP2,-1.823506575,2.931867767,31.67979358,4.94e-07,1.8358320935175343e-06,10.459938316739727,791,5.149592717,Downregulated,5.736167042194365
SPINK8,1.7920932019999998,1.762749343,32.48377791,3.8e-07,1.4831026785714286e-06,10.445804433579058,792,5.237083059,Upregulated,5.82882878073607
ERCC6L,1.834924056,0.596862193,31.267891499999998,5.81e-07,2.0838533333333334e-06,10.424447333629857,793,5.0965509419999995,Upregulated,5.681132850998961
EEIG1,-1.7548266819999998,4.380143085,33.52999032,2.66e-07,1.1483975308641977e-06,10.423508608210378,794,5.346925289,Downregulated,5.939907749938338
