Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
RPSA2,-1.154692792,8.005057707,17.59001288,8.89e-05,0.00018118764434180138,4.3207119587928,1045,3.096319326,Downregulated,3.7418714213232915
SPSB3,-1.167538177,5.3612787289999995,17.23258503,0.000102938,0.00020142524390243902,4.315088121699544,1046,3.057561471,Downregulated,3.6958861018037137
FKBP2,-1.161087892,3.3994255860000004,17.37703723,9.7e-05,0.00019321476888387826,4.312233616056273,1047,3.071709462,Downregulated,3.71395968019988
VAMP8,-1.009748677,7.33674013,22.22936547,1.42e-05,5.366809421841542e-05,4.311913444181688,1048,3.537360079,Downregulated,4.270283826459214
SMC2,1.078503336,3.0963526160000003,19.68348252,3.8299999999999996e-05,0.00010089477611940298,4.3098409586446,1049,3.305997091,Upregulated,3.9961313190083625
TMPRSS9,-1.270611207,-0.293471048,15.10644419,0.00025397099999999997,0.0004075080136363636,4.30719899350139,1050,2.810741684,Downregulated,3.3898638464483417
SCRN2,-1.062183029,3.871248607,20.1934133,3.13e-05,8.83912e-05,4.305655534920022,1051,3.3537511139999996,Downregulated,4.0535909700737855
TRPT1,-1.017052847,4.0948938560000006,21.85880781,1.64e-05,5.8476767676767675e-05,4.305201626292219,1052,3.504909969,Downregulated,4.233016641162029
LFNG,-1.1700996000000001,6.261659832,17.09107714,0.00010911200000000001,0.00020969121871599567,4.304117485357902,1053,3.043153475,Downregulated,3.678419756196739
LOC114841035,-1.160300333,3.4000304010000004,17.32831582,9.9e-05,0.0001961111111111111,4.301810931606643,1054,3.0674049219999997,Downregulated,3.7074977997154837
GNB2,-1.063764039,7.801549862999999,20.1042159,3.24e-05,9.062757527733756e-05,4.300521047341725,1055,3.344957064,Downregulated,4.042739639313681
BMAL2,1.201653829,1.36436514,16.39660327,0.000145886,0.00026409106666666664,4.299813354642892,1056,2.961322108,Upregulated,3.5782462893004205
GYPC,-1.187511491,6.218362267000001,16.65613119,0.00013060600000000002,0.00024214242647058827,4.293957368655486,1057,2.992612587,Downregulated,3.6159291099065975
CPEB4,1.420344425,6.37051412,12.76303256,0.000691658,0.0009515014575214343,4.291699281131327,1058,2.5124670669999998,Upregulated,3.021590542118914
PTPRB,1.331838082,-1.255641058,13.96046149,0.00040217800000000005,0.0005995305489864865,4.291433594866892,1059,2.674835174,Upregulated,3.222188682593093
TMEM88,-1.0933327879999999,2.220097627,19.03698655,4.96e-05,0.00011926975476839237,4.289658036982092,1060,3.250368051,Downregulated,3.923469673702032
HSPA13,1.09948328,4.363784193,18.81085082,5.42e-05,0.00012587236842105263,4.288061311658765,1061,3.2309551219999997,Upregulated,3.900069596018563
ARHGAP23,1.513493391,-0.485975304,11.65058526,0.00114124,0.0014702836496350363,4.2871196726330485,1062,2.358004179,Upregulated,2.8325988723349824
CCDC22,-1.007764708,4.040746166,22.06940042,1.51e-05,5.575627615062761e-05,4.286735026463343,1063,3.523005403,Downregulated,4.253706239595108
AEBP1,-1.31856287,1.240262983,14.18490504,0.000372498,0.0005619307435897436,4.28574758451197,1064,2.6993310960000003,Downregulated,3.250317206726722
NDUFAF8,-1.100211033,2.8161370339999996,18.757751000000003,5.539999999999999e-05,0.00012765143603133157,4.284193481775801,1065,3.22541615,Downregulated,3.893974295180333
RMI1,1.086016178,4.515385496,19.22097244,4.6e-05,0.00011355244755244755,4.284120420460722,1066,3.2670595789999997,Upregulated,3.944803500395665
COX6B1,-1.01243525,7.745666562,21.80735156,1.67e-05,5.883333333333333e-05,4.282982334926981,1067,3.502077564,Downregulated,4.2303765449958215
JMJD4,-1.19576884,2.383416266,16.41478517,0.000144465,0.0002620562435765673,4.282772240475094,1068,2.9646041960000002,Downregulated,3.581605488628633
SEMA6B,-1.4237384990000002,-0.208517808,12.69988802,0.0007188019999999999,0.0009827153601859023,4.281996408992529,1069,2.5009974059999998,Downregulated,3.0075722557197837
S100A5,-1.101646214,0.450832645,18.72568613,5.67e-05,0.00012979961089494164,4.281797654136253,1070,3.219818392,Downregulated,3.886726609434209
TIFAB,-1.211659291,-0.314756278,16.09351051,0.00016774099999999998,0.0002931962079207921,4.2806004100427355,1071,2.925879227,Downregulated,3.532841650980858
NDUFV1,-1.151183672,5.535752281000001,17.4047993,9.590000000000001e-05,0.0001919087301587302,4.278840655165577,1072,3.07430812,Downregulated,3.7169052682373147
NUDT1,-1.289827984,3.271522659,14.59198683,0.000311906,0.0004841812576956904,4.275769481603918,1073,2.7529840360000004,Downregulated,3.314992025792424
GRIN3B,-1.366625825,0.6018640270000001,13.42535722,0.000519691,0.0007445248498376623,4.274970672171758,1074,2.596801755,Downregulated,3.1281208023211167
KRTCAP2,-1.1181843470000001,5.209449192,18.19346732,6.95e-05,0.0001525715174129353,4.2675802307148105,1075,3.159518533,Downregulated,3.816526534434496
TMEM256,-1.149820731,3.4463039889999996,17.35422844,9.790000000000001e-05,0.00019436839145106863,4.267415178989676,1076,3.0697724610000003,Downregulated,3.7113743594432345
LOC102724023,-1.002526747,4.42794036,22.07089367,1.51e-05,5.5873165618448635e-05,4.263542463382086,1077,3.5228193919999997,Downregulated,4.2527967220231035
PPP4C,-1.0287202,7.2405575760000005,21.10891296,2.1899999999999997e-05,7.171335807050091e-05,4.263427935797453,1078,3.4362124960000004,Downregulated,4.144399940622779
GZMM,-1.524580413,3.100502113,11.42244941,0.001261077,0.001604759124008652,4.260577399586528,1079,2.3264217,Downregulated,2.7945901464146172
LATS2,1.083368119,4.113139913,19.10934266,4.8100000000000004e-05,0.00011726035911602212,4.258556248969811,1080,3.255629358,Upregulated,3.9308487800994736
WDR18,-1.152129543,2.024658701,17.21120096,0.000103953,0.0002028891878453039,4.254516111708238,1081,3.054853418,Downregulated,3.6927410963093736
CA12,1.8027052890000002,-0.213562098,9.029906314,0.0038373009999999996,0.004366754522888458,4.254098250760887,1082,1.961589146,Upregulated,2.3598412212573736
APC2,-1.039430129,1.4088992480000002,20.52620316,2.75e-05,8.143875838926175e-05,4.2504053116883345,1083,3.3838317860000005,Downregulated,4.089168856186133
MYCBP2,1.0731480279999999,6.271369989,19.28540441,4.48e-05,0.000112,4.239773888029435,1084,3.273156307,Upregulated,3.9507819773298185
PEX39,-1.150289588,0.19920929399999998,17.09401745,0.000110275,0.0002111012744034707,4.227899899953492,1085,3.0411909130000003,Downregulated,3.675509144879343
XCR1,2.256146822,1.6623253519999999,6.554062885,0.012931318999999998,0.013394235936032863,4.225948126515188,1086,1.542489653,Upregulated,1.87308205534648
