Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
MAMDC4,-1.770707319,0.404368041,32.08077425,4.48E-07,6.57E-06,9.176910673,830,5.182624239,Downregulated
SLC29A1,-1.768169884,3.617190802,32.01038626,4.41E-07,6.49E-06,9.17327344,832,5.188004572,Downregulated
ENTPD6,-1.395055459,4.498125298,45.81675147,5.90E-09,2.69E-07,9.16677189,833,6.570901414,Downregulated
MUTYH,-1.370938803,2.957995416,47.13244112,4.04E-09,2.08E-07,9.161213012,834,6.682437604,Downregulated
LHPP,-1.511928302,3.155110074,40.3385272,3.04E-08,9.03E-07,9.138238231,837,6.044094959,Downregulated
C10orf143,-1.382457144,0.957291598,46.35620712,5.24E-09,2.47E-07,9.133834283,838,6.606956549,Downregulated
SLC2A8,-1.783327187,0.785814919,31.47407608,5.45E-07,7.64E-06,9.125516194,839,5.11712952,Downregulated
EIF3G,-1.48336096,6.193146598,41.45063446,2.16E-08,7.07E-07,9.12347206,840,6.15054077,Downregulated
ADM5,-1.588573483,-1.233054818,36.40532986,7.92E-08,1.84E-06,9.111212014,842,5.735467771,Downregulated
MCRIP2,-1.972134971,1.407645803,27.08512773,2.47E-06,2.42E-05,9.104425169,843,4.616532489,Downregulated
PPAN,-1.575001545,2.020341323,37.60532231,7.17E-08,1.69E-06,9.090645933,844,5.771833027,Downregulated
SFRP5,-1.882194794,-2.476372263,25.76918044,1.35E-06,1.51E-05,9.074789446,846,4.821386965,Downregulated
CARNS1,-1.754544054,1.280335701,31.92081504,4.63E-07,6.73E-06,9.074716954,847,5.172122599,Downregulated
TEDC1,-1.972380573,0.982431216,26.95370657,2.61E-06,2.52E-05,9.069281007,848,4.598139492,Downregulated
B3GALT6,-1.521496235,3.207444956,39.46483509,3.98E-08,1.10E-06,9.065832526,849,5.958498165,Downregulated
FBXO31,-1.384104863,3.039812394,45.55439005,6.38E-09,2.83E-07,9.062957578,850,6.547883632,Downregulated
ANKS6,-1.51242775,1.352037753,39.91820785,3.52E-08,1.02E-06,9.062762857,851,5.992195568,Downregulated
TOMM7,-1.39994232,7.235337213,44.54038449,8.57E-09,3.41E-07,9.053509736,852,6.467059111,Downregulated
SERGEF,-1.341270154,3.187124784,47.7851844,3.35E-09,1.81E-07,9.043474203,853,6.74247032,Downregulated
CFD,-1.930592986,4.375306181,27.5839359,2.04E-06,2.09E-05,9.03647138,855,4.680671402,Downregulated
CD160,-1.787633802,1.822626916,30.75811015,6.81E-07,9.01E-06,9.019207899,858,5.045333049,Downregulated
AK5,-1.777431407,1.271620477,31.01929755,6.28E-07,8.44E-06,9.017904454,859,5.073559754,Downregulated
