Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
KLHL30,-1.135438744,-2.204822075,7.96804098,0.00600254,0.015574039,2.052417631,1671,1.807598729,Downregulated
CLEC3B,-1.112814885,0.624597707,8.307048938,0.005435363,0.014393309,2.049626248,1672,1.841839353,Downregulated
TMEM204,-1.099514203,2.636123773,8.402125683,0.005179988,0.013858532,2.043208288,1673,1.85828276,Downregulated
CLC,-1.197958586,7.814553251,7.270843994,0.009016638,0.02149634,1.997758238,1684,1.667635477,Downregulated
ENTPD2,-1.421449129,-0.203840591,5.76263035,0.019447754,0.039989813,1.98725785,1687,1.39805063,Downregulated
CCR7,-1.002652728,5.801302167,9.137390057,0.003641156,0.010504808,1.983860617,1688,1.978611897,Downregulated
COL6A1,-1.092990985,-0.745930008,8.149472478,0.005884623,0.015318292,1.983548737,1689,1.81478966,Downregulated
TRNP1,-1.066817881,0.01809062,8.304491925,0.00545281,0.014431467,1.963680505,1691,1.840689532,Downregulated
PPP1R14A,-1.003676768,-0.282369229,8.86083738,0.004178681,0.011656795,1.940529567,1695,1.933420827,Downregulated
PNMA3,-1.032454254,1.470060606,8.521784387,0.004892197,0.013242847,1.93896835,1696,1.878018654,Downregulated
GDF7,-1.014792281,0.39386031,8.536652494,0.004868037,0.013187467,1.907645699,1700,1.879838598,Downregulated
RNF150,-1.454269051,-2.48810218,5.189948408,0.024895143,0.048864562,1.906555441,1701,1.311005993,Downregulated
VWCE,-1.131973558,-0.777801318,7.067411368,0.010016764,0.023372448,1.8465837,1710,1.63129579,Downregulated
G0S2,-1.201952605,5.915887555,6.510075369,0.013212672,0.02920847,1.844385688,1711,1.534491194,Downregulated
RAC3,-1.010952612,-1.512086999,7.909001084,0.006517514,0.016646524,1.798157597,1719,1.778676445,Downregulated
MARCHF10,-1.001996499,-1.675488097,7.983619647,0.006237414,0.01606354,1.797740781,1720,1.794158746,Downregulated
TLE6,-1.028270801,-2.220382556,7.527308847,0.007498826,0.018567282,1.780195537,1724,1.731251667,Downregulated
LCN10,-1.054751619,1.516331346,7.286433271,0.008951686,0.021371873,1.761601231,1727,1.670157409,Downregulated
DPYSL4,-1.186770579,-1.468494173,6.12820751,0.015956868,0.034008866,1.74266323,1728,1.468407845,Downregulated
